구분,회사명,특약명,가입조건,판매채널,적용담보(자동차상해 및담보별 확장특약 포함기준),할인율(%)ascdesc
자녀할인,메리츠화재,자녀(만7세이하) 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 태아 ~ 만7세② 운전자범위/연령한정 한정특약 조건 : 부부/기명 1인 한정운전 특별약관 가입,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,7
자녀할인,한화손보,자녀할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 태아② 운전자범위/연령한정 한정특약 조건 : 부부한정,1인한정③ 다자녀(2명이상)조건 : 대상","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",24.4
자녀할인,한화손보,자녀할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 태아② 운전자범위/연령한정 한정특약 조건 : 부부한정,1인한정③ 다자녀(2명이상)조건 : 미대상","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",20.1
자녀할인,한화손보,자녀할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 만0세② 운전자범위/연령한정 한정특약 조건 : 부부한정,1인한정③ 다자녀(2명이상)조건 : 대상","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",20.6
자녀할인,한화손보,자녀할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 만0세② 운전자범위/연령한정 한정특약 조건 : 부부한정,1인한정③ 다자녀(2명이상)조건 : 미대상","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",16.1
자녀할인,한화손보,자녀할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 만1세~만4세② 운전자범위/연령한정 한정특약 조건 : 부부한정,1인한정③ 다자녀(2명이상)조건 : 대상","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",12
자녀할인,한화손보,자녀할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 만1세~만4세② 운전자범위/연령한정 한정특약 조건 : 부부한정,1인한정③ 다자녀(2명이상)조건 : 미대상","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",7
자녀할인,한화손보,자녀할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 만5세~만10세② 운전자범위/연령한정 한정특약 조건 : 부부한정,1인한정","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",8
자녀할인,한화손보,자녀할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 태아~만1세② 운전자범위/연령한정 한정특약 조건 : 부부한정,1인한정 외 운전자한정특약","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",4
자녀할인,롯데손보,자녀할인특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀가 태아인 경우② 부부한정 또는 1인한정 가입,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,10
자녀할인,롯데손보,자녀할인특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀가 만 0~7세인 경우② 부부한정 또는 1인한정 가입,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,5
자녀할인,MG손보,자녀(만9세 이하)할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령 : 기명피보험자에게 만9세 이하(태아 포함) 자녀가 있는 경우② 운전가능범위 : 부부/기명1인 한정운전 특별약관에 가입한 경우,대면/TM/CM,대인1/대인2/대물/자손/무보험/자차,5
자녀할인,흥국화재,자녀할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 태아 : 기명피보험자가 태아 임신을 증명할 수 있는 경우② 운전가능범위 : 부부/기명1인 한정운전 특별약관에 가입한 경우③ 다자녀 여부 : 미대상,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,10.4
자녀할인,흥국화재,자녀할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀 연령 : 기명피보험자에게 만 0세 자녀가 있는 경우② 운전가능범위 : 부부/기명1인 한정운전 특별약관에 가입한 경우③ 다자녀 여부 : 미대상,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,9.4
자녀할인,흥국화재,자녀할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀 연령 : 기명피보험자에게 만 1세 이상 5세 이하 자녀가 있는 경우② 운전가능범위 : 부부/기명1인 한정운전 특별약관에 가입한 경우③ 다자녀 여부 : 미대상,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,7.8
자녀할인,흥국화재,자녀할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀 연령 : 기명피보험자에게 만 6세 이상 12세 이하 자녀가 있는 경우② 운전가능범위 : 부부/기명1인 한정운전 특별약관에 가입한 경우③ 다자녀 여부 : 미대상,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,6.8
자녀할인,흥국화재,자녀할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 태아 : 기명피보험자가 태아 임신을 증명할 수 있는 경우② 운전가능범위 : 부부/기명1인 한정운전 특별약관에 가입한 경우③ 다자녀 여부 : 대상,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,14
자녀할인,흥국화재,자녀할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀 연령 : 기명피보험자에게 만 0세 자녀가 있는 경우② 운전가능범위 : 부부/기명1인 한정운전 특별약관에 가입한 경우③ 다자녀 여부 : 대상,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,13
자녀할인,흥국화재,자녀할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀 연령 : 기명피보험자에게 만 1세 이상 5세 이하 자녀가 있는 경우② 운전가능범위 : 부부/기명1인 한정운전 특별약관에 가입한 경우③ 다자녀 여부 : 대상,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,11.5
자녀할인,흥국화재,자녀할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀 연령 : 기명피보험자에게 만 6세 이상 12세 이하 자녀가 있는 경우② 운전가능범위 : 부부/기명1인 한정운전 특별약관에 가입한 경우③ 다자녀 여부 : 대상,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,10.5
자녀할인,삼성화재,자녀사랑 할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 태아② 운전자범위/연령한정 한정특약 조건 : 1인한정 또는 부부한정 가입하고,운전자연령 만49세/55세/60세/65세 이하 한정운전특약을 가입한 경우③ 기명피보험자 연령 만34세 이하","대면, TM, CM, 플랫폼","대인1, 대인2, 대물, 자손, 무보험, 자차",17.3
자녀할인,삼성화재,자녀사랑 할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 태아② 운전자범위/연령한정 한정특약 조건 : 1인한정 또는 부부한정 가입하고,운전자연령 만49세/55세/60세/65세 이하 한정운전특약을 가입한 경우③ 기명피보험자 연령 만35세 이상","대면, TM, CM, 플랫폼","대인1, 대인2, 대물, 자손, 무보험, 자차",15.8
자녀할인,삼성화재,자녀사랑 할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 만 0세② 운전자범위/연령한정 한정특약 조건 : 1인한정 또는 부부한정 가입하고,운전자연령 만49세/55세/60세/65세 이하 한정운전특약을 가입한 경우③ 기명피보험자 연령 만34세 이하","대면, TM, CM, 플랫폼","대인1, 대인2, 대물, 자손, 무보험, 자차",4.6
자녀할인,삼성화재,자녀사랑 할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 만 0세② 운전자범위/연령한정 한정특약 조건 : 1인한정 또는 부부한정 가입하고,운전자연령 만49세/55세/60세/65세 이하 한정운전특약을 가입한 경우③ 기명피보험자 연령 만35세 이상","대면, TM, CM, 플랫폼","대인1, 대인2, 대물, 자손, 무보험, 자차",2.8
자녀할인,삼성화재,자녀사랑 할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 만  1세 ~ 5세② 운전자범위/연령한정 한정특약 조건 : 1인한정 또는 부부한정 가입하고,운전자연령 만49세/55세/60세/65세 이하 한정운전특약을 가입한 경우③ 기명피보험자 연령 만34세 이하","대면, TM, CM, 플랫폼","대인1, 대인2, 대물, 자손, 무보험, 자차",3.6
자녀할인,삼성화재,자녀사랑 할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 만  1세 ~ 5세② 운전자범위/연령한정 한정특약 조건 : 1인한정 또는 부부한정 가입하고,운전자연령 만49세/55세/60세/65세 이하 한정운전특약을 가입한 경우③ 기명피보험자 연령 만35세 이상","대면, TM, CM, 플랫폼","대인1, 대인2, 대물, 자손, 무보험, 자차",1.8
자녀할인,삼성화재,자녀사랑 할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 만  6세~18세② 운전자범위/연령한정 한정특약 조건 : 1인한정 또는 부부한정 가입하고,운전자연령 만49세/55세/60세/65세 이하 한정운전특약을 가입한 경우③ 기명피보험자 연령 만34세 이하","대면, TM, CM, 플랫폼","대인1, 대인2, 대물, 자손, 무보험, 자차",3.6
자녀할인,삼성화재,자녀사랑 할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 만  6세~18세② 운전자범위/연령한정 한정특약 조건 : 1인한정 또는 부부한정 가입하고,운전자연령 만49세/55세/60세/65세 이하 한정운전특약을 가입한 경우③ 기명피보험자 연령 만35세 이상","대면, TM, CM, 플랫폼","대인1, 대인2, 대물, 자손, 무보험, 자차",1.8
자녀할인,삼성화재,자녀사랑 할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 태아② 운전자범위/연령한정 한정특약 조건 : 1인한정 또는 부부한정 가입하고,운전자연령 만49세/55세/60세/65세 이하 한정운전특약을 미가입한 경우③ 기명피보험자 연령 만34세 이하","대면, TM, CM, 플랫폼","대인1, 대인2, 대물, 자손, 무보험, 자차",21.3
자녀할인,삼성화재,자녀사랑 할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 태아② 운전자범위/연령한정 한정특약 조건 : 1인한정 또는 부부한정 가입하고,운전자연령 만49세/55세/60세/65세 이하 한정운전특약을 미가입한 경우③ 기명피보험자 연령 만35세 이상","대면, TM, CM, 플랫폼","대인1, 대인2, 대물, 자손, 무보험, 자차",19.8
자녀할인,삼성화재,자녀사랑 할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 만 0세② 운전자범위/연령한정 한정특약 조건 : 1인한정 또는 부부한정 가입하고,운전자연령 만49세/55세/60세/65세 이하 한정운전특약을 미가입한 경우③ 기명피보험자 연령 만34세 이하","대면, TM, CM, 플랫폼","대인1, 대인2, 대물, 자손, 무보험, 자차",14.4
자녀할인,삼성화재,자녀사랑 할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 만 0세② 운전자범위/연령한정 한정특약 조건 : 1인한정 또는 부부한정 가입하고,운전자연령 만49세/55세/60세/65세 이하 한정운전특약을 미가입한 경우③ 기명피보험자 연령 만35세 이상","대면, TM, CM, 플랫폼","대인1, 대인2, 대물, 자손, 무보험, 자차",12.8
자녀할인,삼성화재,자녀사랑 할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 만  1세 ~ 5세② 운전자범위/연령한정 한정특약 조건 : 1인한정 또는 부부한정 가입하고,운전자연령 만49세/55세/60세/65세 이하 한정운전특약을 미가입한 경우③ 기명피보험자 연령 만34세 이하","대면, TM, CM, 플랫폼","대인1, 대인2, 대물, 자손, 무보험, 자차",7.5
자녀할인,삼성화재,자녀사랑 할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 만  1세 ~ 5세② 운전자범위/연령한정 한정특약 조건 : 1인한정 또는 부부한정 가입하고,운전자연령 만49세/55세/60세/65세 이하 한정운전특약을 미가입한 경우③ 기명피보험자 연령 만35세 이상","대면, TM, CM, 플랫폼","대인1, 대인2, 대물, 자손, 무보험, 자차",5.8
자녀할인,삼성화재,자녀사랑 할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 만 6세~18세② 운전자범위/연령한정 한정특약 조건 : 1인한정 또는 부부한정 가입하고,운전자연령 만49세/55세/60세/65세 이하 한정운전특약을 미가입한 경우③ 기명피보험자 연령 만34세 이하","대면, TM, CM, 플랫폼","대인1, 대인2, 대물, 자손, 무보험, 자차",3.6
자녀할인,삼성화재,자녀사랑 할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 만 6세~18세② 운전자범위/연령한정 한정특약 조건 : 1인한정 또는 부부한정 가입하고,운전자연령 만49세/55세/60세/65세 이하 한정운전특약을 미가입한 경우③ 기명피보험자 연령 만35세 이상","대면, TM, CM, 플랫폼","대인1, 대인2, 대물, 자손, 무보험, 자차",1.8
자녀할인,삼성화재,자녀사랑 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 태아② 운전자범위 한정특약 조건 : 1인한정/부부한정 외 운전자한정특약③ 기명피보험자 연령 만34세 이하,"대면, TM, CM, 플랫폼","대인1, 대인2, 대물, 자손, 무보험, 자차",9.5
자녀할인,삼성화재,자녀사랑 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 태아② 운전자범위 한정특약 조건 : 1인한정/부부한정 외 운전자한정특약③ 기명피보험자 연령 만35세 이상,"대면, TM, CM, 플랫폼","대인1, 대인2, 대물, 자손, 무보험, 자차",7.8
자녀할인,삼성화재,자녀사랑 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 만 0세② 운전자범위 한정특약 조건 : 1인한정/부부한정 외 운전자한정특약③ 기명피보험자 연령 만34세 이하,"대면, TM, CM, 플랫폼","대인1, 대인2, 대물, 자손, 무보험, 자차",6.5
자녀할인,삼성화재,자녀사랑 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 만 0세② 운전자범위 한정특약 조건 : 1인한정/부부한정 외 운전자한정특약③ 기명피보험자 연령 만35세 이상,"대면, TM, CM, 플랫폼","대인1, 대인2, 대물, 자손, 무보험, 자차",4.8
자녀할인,삼성화재,자녀사랑 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 만  1세 ~ 5세② 운전자범위 한정특약 조건 : 1인한정/부부한정 외 운전자한정특약③ 기명피보험자 연령 만34세 이하,"대면, TM, CM, 플랫폼","대인1, 대인2, 대물, 자손, 무보험, 자차",3.6
자녀할인,삼성화재,자녀사랑 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 만  1세 ~ 5세② 운전자범위 한정특약 조건 : 1인한정/부부한정 외 운전자한정특약③ 기명피보험자 연령 만35세 이상,"대면, TM, CM, 플랫폼","대인1, 대인2, 대물, 자손, 무보험, 자차",1.8
자녀할인,삼성화재,자녀사랑 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 만  6세~18세② 운전자범위 한정특약 조건 : 1인한정/부부한정 외 운전자한정특약③ 기명피보험자 연령 만34세 이하,"대면, TM, CM, 플랫폼","대인1, 대인2, 대물, 자손, 무보험, 자차",2.6
자녀할인,삼성화재,자녀사랑 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 만  6세~18세② 운전자범위 한정특약 조건 : 1인한정/부부한정 외 운전자한정특약③ 기명피보험자 연령 만35세 이상,"대면, TM, CM, 플랫폼","대인1, 대인2, 대물, 자손, 무보험, 자차",0.8
자녀할인,현대해상,효도하는 자녀(만12세이하) 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령 : 기명피보험자 또는 그 배우자가 태아를 임신한 경우② 운전가능범위 : 부부/기명1인 한정운전 특별약관에 가입한 경우,대면/TM/CM/플랫폼,대인1/대인2/대물/자손/무보험/자차,14
자녀할인,현대해상,효도하는 자녀(만12세이하) 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령 : 기명피보험자 또는 그 배우자가 태아를 임신한 경우② 운전가능범위 : 가족한정 또는 누구나인 경우,대면/TM/CM/플랫폼,대인1/대인2/대물/자손/무보험/자차,10
자녀할인,현대해상,효도하는 자녀(만12세이하) 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령 : 기명피보험자에게 만 0세 이하 자녀가 있는 경우② 운전가능범위 : 부부/기명1인 한정운전 특별약관에 가입한 경우,대면/TM/CM/플랫폼,대인1/대인2/대물/자손/무보험/자차,14
자녀할인,현대해상,효도하는 자녀(만12세이하) 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령 : 기명피보험자에게 만 0세 이하 자녀가 있는 경우② 운전가능범위 : 가족한정 또는 누구나인 경우,대면/TM/CM/플랫폼,대인1/대인2/대물/자손/무보험/자차,6
자녀할인,현대해상,효도하는 자녀(만12세이하) 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령 : 기명피보험자에게 만 6세 이하 자녀가 있는 경우② 운전가능범위 : 부부/기명1인 한정운전 특별약관에 가입한 경우,대면/TM/CM/플랫폼,대인1/대인2/대물/자손/무보험/자차,10
자녀할인,현대해상,효도하는 자녀(만12세이하) 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령 : 기명피보험자에게 만 6세 이하 자녀가 있는 경우② 운전가능범위 : 가족한정 또는 누구나인 경우,대면/TM/CM/플랫폼,대인1/대인2/대물/자손/무보험/자차,2
자녀할인,현대해상,효도하는 자녀(만12세이하) 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령 : 기명피보험자에게 만 9세 이하 자녀가 있는 경우② 운전가능범위 : 부부/기명1인 한정운전 특별약관에 가입한 경우,대면/TM/CM/플랫폼,대인1/대인2/대물/자손/무보험/자차,6
자녀할인,현대해상,효도하는 자녀(만12세이하) 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령 : 기명피보험자에게 만 9세 이하 자녀가 있는 경우② 운전가능범위 : 가족한정 또는 누구나인 경우,대면/TM/CM/플랫폼,대인1/대인2/대물/자손/무보험/자차,2
자녀할인,현대해상,효도하는 자녀(만12세이하) 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령 : 기명피보험자에게 만 12세 이하 자녀가 있는 경우② 운전가능범위 : 부부/기명1인 한정운전 특별약관에 가입한 경우,대면/TM/CM/플랫폼,대인1/대인2/대물/자손/무보험/자차,2
자녀할인,현대해상,효도하는 자녀(만12세이하) 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령 : 기명피보험자에게 만 12세 이하 자녀가 있는 경우② 운전가능범위 : 가족한정 또는 누구나인 경우,대면/TM/CM/플랫폼,대인1/대인2/대물/자손/무보험/자차,1
자녀할인,KB손보,자녀할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 만 0세 자녀가 있거나 출산예정인 경우② 기명1인한정운전특약 또는 부부한정운전특약 가입시③ 자녀 수 2명 이상인 경우,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,15.29
자녀할인,KB손보,자녀할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 만 0세 자녀가 있거나 출산예정인 경우② 기명1인한정운전특약 또는 부부한정운전특약 가입시③ 자녀 수 1명인 경우,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,13.74
자녀할인,KB손보,자녀할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 만1세이상 만 6세 이하 자녀가 있는 경우② 기명1인한정운전특약 또는 부부한정운전특약 가입시③ 자녀 수 2명 이상인 경우,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,9.38
자녀할인,KB손보,자녀할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 만 1세 이상 만 6세이하 자녀가 있는 경우② 기명1인한정운전특약 또는 부부한정운전특약 가입시③ 자녀 수 1명인 경우,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,7.72
자녀할인,KB손보,자녀할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 만 0세 자녀가 있거나 출산예정인 경우② 기명1인한정운전특약과 부부한정운전특약 이외 특약 가입 시③ 자녀 수 2명 이상인 경우,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,7.41
자녀할인,KB손보,자녀할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 만 0세 자녀가 있거나 출산예정인 경우② 기명1인한정운전특약과 부부한정운전특약 이외 특약 가입 시③ 자녀 수 1명인 경우,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,5.72
자녀할인,KB손보,자녀할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 만7세이상 만 9세 이하 자녀가 있는 경우② 기명1인한정운전특약 또는 부부한정운전특약 특약 가입 시③ 자녀 수 2명 이상인 경우,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,5.44
자녀할인,KB손보,자녀할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 만7세이상 만 9세 이하 자녀가 있는 경우② 기명1인한정운전특약 또는 부부한정운전특약 특약 가입 시③ 자녀 수 1명인 경우,,,3.71
자녀할인,KB손보,자녀할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 만10세이상 만 13세 이하 자녀가 있는 경우② 기명1인한정운전특약 또는 부부한정운전특약 가입 시③ 자녀 수 2명 이상인 경우,,,3.47
자녀할인,KB손보,자녀할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 만1세이상 만 13세 이하 자녀가 있는 경우② 기명1인한정운전특약과 부부한정운전특약 이외 특약 가입 시③ 자녀 수 2명 이상인 경우,,,3.47
자녀할인,KB손보,자녀할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 만10세이상 만 13세 이하 자녀가 있는 경우② 기명1인한정운전특약 또는 부부한정운전특약 가입 시③ 자녀 수 1명인 경우,,,1.71
